image1,image2,label
evaluation\images\modi_1.png,evaluation\images\modi_2.png,genuine
evaluation\images\modi_1.png,evaluation\images\modi_3.png,genuine
evaluation\images\modi_1.png,evaluation\images\modi_4.png,genuine
evaluation\images\modi_2.png,evaluation\images\modi_3.png,genuine
evaluation\images\modi_2.png,evaluation\images\modi_4.png,genuine
evaluation\images\modi_3.png,evaluation\images\modi_4.png,genuine
evaluation\images\virat_1.png,evaluation\images\virat_2.png,genuine
evaluation\images\virat_1.png,evaluation\images\virat_3.png,genuine
evaluation\images\virat_1.png,evaluation\images\virat_4.png,genuine
evaluation\images\virat_2.png,evaluation\images\virat_3.png,genuine
evaluation\images\virat_2.png,evaluation\images\virat_4.png,genuine
evaluation\images\virat_3.png,evaluation\images\virat_4.png,genuine
evaluation\images\modi_1.png,evaluation\images\virat_1.png,impostor
evaluation\images\modi_1.png,evaluation\images\virat_2.png,impostor
evaluation\images\modi_1.png,evaluation\images\virat_3.png,impostor
evaluation\images\modi_1.png,evaluation\images\virat_4.png,impostor
evaluation\images\modi_2.png,evaluation\images\virat_1.png,impostor
evaluation\images\modi_2.png,evaluation\images\virat_2.png,impostor
evaluation\images\modi_2.png,evaluation\images\virat_3.png,impostor
evaluation\images\modi_2.png,evaluation\images\virat_4.png,impostor
evaluation\images\modi_3.png,evaluation\images\virat_1.png,impostor
evaluation\images\modi_3.png,evaluation\images\virat_2.png,impostor
evaluation\images\modi_3.png,evaluation\images\virat_3.png,impostor
evaluation\images\modi_3.png,evaluation\images\virat_4.png,impostor
evaluation\images\modi_4.png,evaluation\images\virat_1.png,impostor
evaluation\images\modi_4.png,evaluation\images\virat_2.png,impostor
evaluation\images\modi_4.png,evaluation\images\virat_3.png,impostor
evaluation\images\modi_4.png,evaluation\images\virat_4.png,impostor
